1st scavenge	I hate this ruined city. I hate it so much it hurts.
2nd scavenge	Just a short round trip, and I'm back to safety.
random scavenge	I bet the city looked nice once. But we were born much later.
random scavenge	Are all other places like this, too?
good mob	I met a living person today. We talked for a bit. It was nice.
good mob	Maybe I should start rebuilding some of the housing...
neutral mob	I wonder if there are other friendly morphlings around here.
neutral mob	At least now I have a reason to leave my base.
bad mob	I've seen other people. Better lay low for a couple of days.
bad mob	Sometimes I think I should just leave this cursed place.
